date,Unemployed 0–4 weeks,Unemployed 5–14 weeks,Unemployed 15–26 weeks,Unemployed 15+ weeks,Unemployed 27+ weeks,Share unemployed 0–4 weeks,Share unemployed 5–14 weeks,Share unemployed 15–26 weeks,Share unemployed 15+ weeks,Share unemployed 27+ weeks
2000-01-01,2541.0,1749.0,659.0,1380.0,721.0,44.8,30.8,11.6,24.3,12.7
2000-02-01,2604.0,1912.0,671.0,1300.0,629.0,44.8,32.9,11.5,22.3,10.8
2000-03-01,2780.0,1781.0,666.0,1312.0,646.0,47.3,30.3,11.3,22.3,11.0
2000-04-01,2510.0,1845.0,662.0,1261.0,599.0,44.7,32.9,11.8,22.5,10.7
2000-05-01,2564.0,1911.0,683.0,1325.0,643.0,44.2,32.9,11.8,22.8,11.1
2000-06-01,2579.0,1753.0,616.0,1242.0,627.0,46.3,31.5,11.0,22.3,11.2
2000-07-01,2498.0,1824.0,645.0,1343.0,698.0,44.1,32.2,11.4,23.7,12.3
2000-08-01,2550.0,1893.0,685.0,1394.0,709.0,43.7,32.4,11.7,23.9,12.2
2000-09-01,2571.0,1746.0,644.0,1290.0,646.0,45.9,31.1,11.5,23.0,11.5
2000-10-01,2497.0,1724.0,710.0,1337.0,627.0,44.9,31.0,12.8,24.1,11.3
2000-11-01,2512.0,1790.0,723.0,1315.0,593.0,44.7,31.9,12.9,23.4,10.6
2000-12-01,2477.0,1825.0,687.0,1329.0,642.0,44.0,32.4,12.2,23.6,11.4
2001-01-01,2648.0,1956.0,696.0,1372.0,676.0,44.3,32.7,11.7,23.0,11.3
2001-02-01,2851.0,1764.0,777.0,1491.0,714.0,46.7,28.9,12.7,24.4,11.7
2001-03-01,2681.0,2059.0,825.0,1521.0,696.0,42.8,32.9,13.2,24.3,11.1
2001-04-01,2972.0,1990.0,787.0,1499.0,712.0,46.0,30.8,12.2,23.2,11.0
2001-05-01,2701.0,2045.0,877.0,1502.0,624.0,43.2,32.7,14.0,24.0,10.0
2001-06-01,2808.0,2025.0,822.0,1532.0,710.0,44.1,31.8,12.9,24.1,11.2
2001-07-01,2642.0,2187.0,951.0,1653.0,702.0,40.8,33.7,14.7,25.5,10.8
2001-08-01,2966.0,2187.0,1004.0,1861.0,857.0,42.3,31.2,14.3,26.5,12.2
2001-09-01,2837.0,2350.0,1131.0,1950.0,819.0,39.7,32.9,15.8,27.3,11.5
2001-10-01,3111.0,2531.0,1173.0,2082.0,909.0,40.3,32.8,15.2,27.0,11.8
2001-11-01,3090.0,2566.0,1213.0,2318.0,1106.0,38.8,32.2,15.2,29.1,13.9
2001-12-01,3037.0,2797.0,1318.0,2444.0,1126.0,36.7,33.8,15.9,29.5,13.6
2002-01-01,3044.0,2606.0,1375.0,2578.0,1203.0,37.0,31.7,16.7,31.3,14.6
2002-02-01,2984.0,2577.0,1394.0,2608.0,1214.0,36.5,31.5,17.1,31.9,14.9
2002-03-01,3074.0,2563.0,1390.0,2719.0,1330.0,36.8,30.7,16.6,32.5,15.9
2002-04-01,2932.0,2872.0,1395.0,2852.0,1457.0,33.9,33.2,16.1,32.9,16.8
2002-05-01,2843.0,2584.0,1393.0,2967.0,1574.0,33.9,30.8,16.6,35.3,18.8
2002-06-01,2711.0,2654.0,1382.0,3023.0,1641.0,32.3,31.6,16.5,36.0,19.6
2002-07-01,2891.0,2467.0,1382.0,2966.0,1584.0,34.7,29.6,16.6,35.6,19.0
2002-08-01,2927.0,2525.0,1313.0,2887.0,1573.0,35.1,30.3,15.8,34.6,18.9
2002-09-01,2772.0,2526.0,1391.0,2971.0,1580.0,33.5,30.6,16.8,35.9,19.1
2002-10-01,2765.0,2512.0,1388.0,3042.0,1653.0,33.2,30.2,16.7,36.6,19.9
2002-11-01,2950.0,2505.0,1319.0,3062.0,1743.0,34.6,29.4,15.5,36.0,20.5
2002-12-01,2838.0,2589.0,1347.0,3271.0,1924.0,32.6,29.8,15.5,37.6,22.1
2003-01-01,2856.0,2582.0,1405.0,3166.0,1760.0,33.2,30.0,16.3,36.8,20.5
2003-02-01,2798.0,2611.0,1297.0,3161.0,1864.0,32.6,30.5,15.1,36.9,21.8
2003-03-01,2831.0,2567.0,1363.0,3161.0,1798.0,33.1,30.0,15.9,36.9,21.0
2003-04-01,2794.0,2661.0,1421.0,3348.0,1927.0,31.7,30.2,16.1,38.0,21.9
2003-05-01,2988.0,2631.0,1389.0,3318.0,1929.0,33.4,29.4,15.5,37.1,21.6
2003-06-01,2906.0,2745.0,1453.0,3552.0,2100.0,31.6,29.8,15.8,38.6,22.8
2003-07-01,2720.0,2616.0,1661.0,3633.0,1972.0,30.3,29.2,18.5,40.5,22.0
2003-08-01,2801.0,2625.0,1561.0,3557.0,1995.0,31.2,29.2,17.4,39.6,22.2
2003-09-01,2704.0,2775.0,1472.0,3486.0,2014.0,30.2,31.0,16.4,38.9,22.5
2003-10-01,2710.0,2593.0,1492.0,3451.0,1959.0,31.0,29.6,17.0,39.4,22.4
2003-11-01,2656.0,2509.0,1414.0,3420.0,2006.0,30.9,29.2,16.5,39.8,23.4
2003-12-01,2554.0,2455.0,1435.0,3366.0,1931.0,30.5,29.3,17.1,40.2,23.1
2004-01-01,2685.0,2369.0,1453.0,3364.0,1911.0,31.9,28.1,17.3,40.0,22.7
2004-02-01,2425.0,2436.0,1392.0,3248.0,1856.0,29.9,30.0,17.2,40.0,22.9
2004-03-01,2637.0,2434.0,1331.0,3314.0,1983.0,31.4,29.0,15.9,39.5,23.6
2004-04-01,2780.0,2400.0,1166.0,2971.0,1805.0,34.1,29.4,14.3,36.4,22.1
2004-05-01,2723.0,2378.0,1304.0,3103.0,1799.0,33.2,29.0,15.9,37.8,21.9
2004-06-01,2677.0,2387.0,1284.0,3130.0,1847.0,32.7,29.1,15.7,38.2,22.5
2004-07-01,2820.0,2384.0,1237.0,2918.0,1681.0,34.7,29.3,15.2,35.9,20.7
2004-08-01,2660.0,2563.0,1206.0,2846.0,1640.0,33.0,31.8,14.9,35.3,20.3
2004-09-01,2758.0,2276.0,1209.0,2910.0,1702.0,34.7,28.7,15.2,36.6,21.4
2004-10-01,2732.0,2303.0,1304.0,3041.0,1737.0,33.8,28.5,16.1,37.7,21.5
2004-11-01,2638.0,2339.0,1258.0,2960.0,1702.0,33.2,29.5,15.8,37.3,21.4
2004-12-01,2768.0,2268.0,1274.0,2927.0,1653.0,34.8,28.5,16.0,36.8,20.8
2005-01-01,2635.0,2298.0,1203.0,2851.0,1648.0,33.8,29.5,15.5,36.6,21.2
2005-02-01,2749.0,2345.0,1268.0,2896.0,1628.0,34.4,29.3,15.9,36.3,20.4
2005-03-01,2483.0,2328.0,1157.0,2817.0,1660.0,32.5,30.5,15.2,36.9,21.8
2005-04-01,2688.0,2289.0,1069.0,2678.0,1609.0,35.1,29.9,14.0,35.0,21.0
2005-05-01,2754.0,2231.0,1145.0,2683.0,1538.0,35.9,29.1,14.9,35.0,20.1
2005-06-01,2659.0,2361.0,1030.0,2405.0,1375.0,35.8,31.8,13.9,32.4,18.5
2005-07-01,2568.0,2368.0,1068.0,2449.0,1380.0,34.8,32.1,14.5,33.2,18.7
2005-08-01,2570.0,2304.0,1161.0,2569.0,1407.0,34.5,31.0,15.6,34.5,18.9
2005-09-01,2763.0,2294.0,1098.0,2537.0,1439.0,36.4,30.2,14.5,33.4,18.9
2005-10-01,2719.0,2296.0,1070.0,2492.0,1422.0,36.2,30.6,14.3,33.2,18.9
2005-11-01,2823.0,2282.0,1116.0,2486.0,1370.0,37.2,30.1,14.7,32.7,18.0
2005-12-01,2588.0,2249.0,1073.0,2429.0,1356.0,35.6,30.9,14.8,33.4,18.7
2006-01-01,2527.0,2194.0,1100.0,2270.0,1170.0,36.1,31.4,15.7,32.5,16.7
2006-02-01,2577.0,2088.0,1195.0,2546.0,1350.0,35.7,29.0,16.6,35.3,18.7
2006-03-01,2659.0,1999.0,1064.0,2373.0,1309.0,37.8,28.4,15.1,33.8,18.6
2006-04-01,2665.0,2142.0,1022.0,2353.0,1331.0,37.2,29.9,14.3,32.9,18.6
2006-05-01,2545.0,2189.0,969.0,2303.0,1333.0,36.2,31.1,13.8,32.7,18.9
2006-06-01,2705.0,2076.0,982.0,2127.0,1145.0,39.2,30.0,14.2,30.8,16.6
2006-07-01,2721.0,2126.0,986.0,2289.0,1304.0,38.1,29.8,13.8,32.1,18.3
2006-08-01,2603.0,2246.0,987.0,2293.0,1306.0,36.4,31.5,13.8,32.1,18.3
2006-09-01,2608.0,2053.0,986.0,2231.0,1245.0,37.8,29.8,14.3,32.4,18.1
2006-10-01,2616.0,2103.0,984.0,2062.0,1078.0,38.6,31.0,14.5,30.4,15.9
2006-11-01,2511.0,2212.0,1028.0,2159.0,1131.0,36.5,32.1,14.9,31.4,16.4
2006-12-01,2596.0,2047.0,990.0,2083.0,1093.0,38.6,30.4,14.7,31.0,16.2
2007-01-01,2561.0,2267.0,1015.0,2156.0,1141.0,36.7,32.5,14.5,30.9,16.3
2007-02-01,2574.0,2168.0,962.0,2211.0,1249.0,37.0,31.2,13.8,31.8,18.0
2007-03-01,2307.0,2138.0,1010.0,2255.0,1245.0,34.4,31.9,15.1,33.7,18.6
2007-04-01,2456.0,2178.0,1075.0,2281.0,1206.0,35.5,31.5,15.5,33.0,17.4
2007-05-01,2464.0,2183.0,1100.0,2231.0,1132.0,35.8,31.7,16.0,32.4,16.5
2007-06-01,2551.0,2134.0,1138.0,2281.0,1143.0,36.6,30.6,16.3,32.7,16.4
2007-07-01,2502.0,2203.0,1073.0,2364.0,1291.0,35.4,31.2,15.2,33.4,18.3
2007-08-01,2614.0,2156.0,1086.0,2333.0,1246.0,36.8,30.4,15.3,32.8,17.5
2007-09-01,2557.0,2292.0,1091.0,2355.0,1264.0,35.5,31.8,15.1,32.7,17.5
2007-10-01,2545.0,2502.0,1003.0,2300.0,1298.0,34.6,34.1,13.6,31.3,17.7
2007-11-01,2645.0,2241.0,992.0,2366.0,1374.0,36.5,30.9,13.7,32.6,18.9
2007-12-01,2718.0,2376.0,1177.0,2501.0,1324.0,35.8,31.3,15.5,32.9,17.4
2008-01-01,2554.0,2406.0,1152.0,2540.0,1388.0,34.1,32.1,15.4,33.9,18.5
2008-02-01,2653.0,2370.0,1116.0,2446.0,1329.0,35.5,31.7,14.9,32.7,17.8
2008-03-01,2823.0,2537.0,1168.0,2491.0,1323.0,36.0,32.3,14.9,31.7,16.9
2008-04-01,2493.0,2574.0,1314.0,2687.0,1372.0,32.2,33.2,17.0,34.7,17.7
2008-05-01,3278.0,2476.0,1219.0,2780.0,1561.0,38.4,29.0,14.3,32.6,18.3
2008-06-01,2753.0,3016.0,1337.0,2913.0,1576.0,31.7,34.7,15.4,33.6,18.2
2008-07-01,2854.0,2833.0,1450.0,3114.0,1664.0,32.4,32.2,16.5,35.4,18.9
2008-08-01,3256.0,2758.0,1554.0,3420.0,1866.0,34.5,29.2,16.5,36.2,19.8
2008-09-01,2848.0,3035.0,1599.0,3626.0,2027.0,29.9,31.9,16.8,38.1,21.3
2008-10-01,3170.0,3055.0,1710.0,3990.0,2280.0,31.0,29.9,16.7,39.1,22.3
2008-11-01,3335.0,3260.0,1704.0,3923.0,2219.0,31.7,31.0,16.2,37.3,21.1
2008-12-01,3255.0,3498.0,1936.0,4547.0,2610.0,28.8,31.0,17.1,40.2,23.1
2009-01-01,3524.0,3662.0,2065.0,4764.0,2699.0,29.5,30.6,17.3,39.9,22.6
2009-02-01,3450.0,3936.0,2456.0,5455.0,2999.0,26.9,30.7,19.1,42.5,23.4
2009-03-01,3465.0,4122.0,2625.0,5886.0,3260.0,25.7,30.6,19.5,43.7,24.2
2009-04-01,3338.0,4138.0,2634.0,6385.0,3752.0,24.1,29.9,19.0,46.1,27.1
2009-05-01,3246.0,4458.0,3049.0,7022.0,3973.0,22.0,30.3,20.7,47.7,27.0
2009-06-01,3114.0,4052.0,3488.0,7837.0,4349.0,20.8,27.0,23.2,52.2,29.0
2009-07-01,3137.0,3505.0,2923.0,7839.0,4917.0,21.7,24.2,20.2,54.1,34.0
2009-08-01,2940.0,3927.0,2791.0,7828.0,5037.0,20.0,26.7,19.0,53.3,34.3
2009-09-01,2841.0,3775.0,2908.0,8402.0,5494.0,18.9,25.1,19.4,55.9,36.6
2009-10-01,3223.0,3552.0,3006.0,8648.0,5643.0,20.9,23.0,19.5,56.1,36.6
2009-11-01,2816.0,3457.0,2847.0,8755.0,5908.0,18.7,23.0,18.9,58.3,39.3
2009-12-01,2879.0,3457.0,2712.0,8835.0,6122.0,19.0,22.8,17.9,58.2,40.4
2010-01-01,2921.0,3390.0,2574.0,8894.0,6319.0,19.2,22.3,16.9,58.5,41.6
2010-02-01,2807.0,3390.0,2793.0,8922.0,6129.0,18.6,22.4,18.5,59.0,40.5
2010-03-01,2769.0,3294.0,2542.0,9087.0,6545.0,18.3,21.7,16.8,60.0,43.2
2010-04-01,2725.0,3086.0,2330.0,9130.0,6800.0,18.2,20.7,15.6,61.1,45.5
2010-05-01,2773.0,3127.0,2260.0,8897.0,6638.0,18.7,21.1,15.3,60.1,44.9
2010-06-01,2683.0,3159.0,2284.0,8907.0,6623.0,18.2,21.4,15.5,60.4,44.9
2010-07-01,2806.0,2972.0,2208.0,8714.0,6506.0,19.4,20.5,15.2,60.1,44.9
2010-08-01,2671.0,3534.0,2162.0,8421.0,6259.0,18.3,24.2,14.8,57.6,42.8
2010-09-01,2819.0,3308.0,2291.0,8454.0,6163.0,19.3,22.7,15.7,58.0,42.3
2010-10-01,2655.0,3345.0,2387.0,8613.0,6227.0,18.2,22.9,16.3,58.9,42.6
2010-11-01,2912.0,3321.0,2370.0,8696.0,6326.0,19.5,22.2,15.9,58.3,42.4
2010-12-01,2693.0,3169.0,2120.0,8549.0,6429.0,18.7,22.0,14.7,59.3,44.6
2011-01-01,2686.0,3033.0,2218.0,8393.0,6175.0,19.0,21.5,15.7,59.5,43.8
2011-02-01,2469.0,3118.0,2284.0,8175.0,5892.0,17.9,22.7,16.6,59.4,42.8
2011-03-01,2535.0,2980.0,2061.0,8166.0,6105.0,18.5,21.8,15.1,59.7,44.6
2011-04-01,2787.0,2987.0,2090.0,8016.0,5925.0,20.2,21.7,15.2,58.1,43.0
2011-05-01,2668.0,2903.0,2052.0,8205.0,6153.0,19.4,21.1,14.9,59.6,44.7
2011-06-01,2933.0,2987.0,1871.0,8143.0,6271.0,20.9,21.2,13.3,57.9,44.6
2011-07-01,2632.0,2931.0,1982.0,8177.0,6195.0,19.2,21.3,14.4,59.5,45.1
2011-08-01,2650.0,2989.0,2199.0,8247.0,6048.0,19.1,21.5,15.8,59.4,43.6
2011-09-01,2754.0,2881.0,2012.0,8316.0,6304.0,19.7,20.7,14.4,59.6,45.2
2011-10-01,2668.0,3250.0,1964.0,7802.0,5838.0,19.4,23.7,14.3,56.9,42.6
2011-11-01,2556.0,2913.0,2009.0,7706.0,5698.0,19.4,22.1,15.2,58.5,43.2
2011-12-01,2678.0,2873.0,1959.0,7545.0,5586.0,20.4,21.9,15.0,57.6,42.7
2012-01-01,2474.0,2908.0,1957.0,7433.0,5476.0,19.3,22.7,15.3,58.0,42.7
2012-02-01,2610.0,2848.0,2051.0,7293.0,5242.0,20.5,22.3,16.1,57.2,41.1
2012-03-01,2708.0,2788.0,1940.0,7176.0,5236.0,21.4,22.0,15.3,56.6,41.3
2012-04-01,2624.0,2878.0,1940.0,7072.0,5132.0,20.9,22.9,15.4,56.2,40.8
2012-05-01,2550.0,3006.0,1690.0,7091.0,5401.0,20.2,23.8,13.4,56.1,42.7
2012-06-01,2747.0,2806.0,1817.0,7227.0,5409.0,21.5,22.0,14.2,56.5,42.3
2012-07-01,2662.0,2984.0,1773.0,6983.0,5210.0,21.1,23.6,14.0,55.3,41.2
2012-08-01,2784.0,2811.0,1846.0,6889.0,5042.0,22.3,22.5,14.8,55.2,40.4
2012-09-01,2538.0,2819.0,1863.0,6775.0,4911.0,20.9,23.2,15.4,55.8,40.5
2012-10-01,2635.0,2859.0,1796.0,6784.0,4988.0,21.5,23.3,14.6,55.3,40.6
2012-11-01,2620.0,2776.0,1745.0,6550.0,4805.0,21.9,23.2,14.6,54.8,40.2
2012-12-01,2756.0,2901.0,1861.0,6629.0,4768.0,22.4,23.6,15.1,54.0,38.8
