date,Employed → Unemployed,Unemployed → Employed,NILF → Unemployed,Unemployed → NILF,Employed → NILF,NILF → Employed,Job-finding rate
2000-01-01,1614.0,2005.0,1628.0,1256.0,3591.0,3629.0,35.5
2000-02-01,1678.0,1784.0,1628.0,1395.0,3739.0,3640.0,31.3
2000-03-01,1646.0,1893.0,1541.0,1451.0,3798.0,3585.0,32.3
2000-04-01,1532.0,1940.0,1533.0,1398.0,3547.0,3611.0,33.8
2000-05-01,1688.0,1660.0,1619.0,1379.0,3992.0,3265.0,30.3
2000-06-01,1597.0,1850.0,1610.0,1491.0,3696.0,3660.0,32.1
2000-07-01,1751.0,1887.0,1499.0,1289.0,3921.0,3276.0,33.4
2000-08-01,1718.0,1831.0,1596.0,1422.0,3684.0,3639.0,31.9
2000-09-01,1643.0,1875.0,1471.0,1497.0,3901.0,3775.0,32.0
2000-10-01,1549.0,1885.0,1498.0,1273.0,3929.0,3691.0,33.5
2000-11-01,1444.0,1709.0,1596.0,1244.0,3894.0,3831.0,30.9
2000-12-01,1472.0,1699.0,1487.0,1293.0,3748.0,3768.0,30.1
2001-01-01,1758.0,1784.0,1660.0,1258.0,3894.0,3972.0,31.7
2001-02-01,1729.0,1831.0,1573.0,1436.0,4170.0,3843.0,30.4
2001-03-01,1782.0,1892.0,1626.0,1478.0,3836.0,3840.0,31.1
2001-04-01,1827.0,1859.0,1672.0,1536.0,4193.0,3594.0,30.3
2001-05-01,1810.0,2034.0,1618.0,1462.0,4163.0,3677.0,32.4
2001-06-01,1877.0,1910.0,1689.0,1437.0,3958.0,3655.0,30.7
2001-07-01,1833.0,1956.0,1661.0,1456.0,4028.0,4003.0,30.2
2001-08-01,1946.0,1914.0,1861.0,1454.0,4523.0,3663.0,29.1
2001-09-01,1823.0,2045.0,1856.0,1550.0,3839.0,4124.0,29.0
2001-10-01,2025.0,1933.0,1989.0,1562.0,3890.0,3416.0,27.1
2001-11-01,2109.0,2121.0,1917.0,1624.0,3719.0,3528.0,27.6
2001-12-01,1986.0,2109.0,2036.0,1680.0,3883.0,3505.0,26.4
2002-01-01,2130.0,2109.0,1687.0,1796.0,3897.0,3558.0,25.5
2002-02-01,1950.0,2332.0,2013.0,1608.0,3419.0,3766.0,28.5
2002-03-01,1884.0,2195.0,2029.0,1655.0,3992.0,3360.0,26.7
2002-04-01,2008.0,2085.0,1992.0,1651.0,3801.0,3637.0,25.1
2002-05-01,1797.0,2130.0,1927.0,1814.0,3817.0,3852.0,24.8
2002-06-01,1989.0,1997.0,1774.0,1786.0,3988.0,3765.0,23.8
2002-07-01,1935.0,2022.0,2028.0,1975.0,3721.0,3562.0,24.1
2002-08-01,1934.0,2184.0,1852.0,1713.0,3682.0,3718.0,26.0
2002-09-01,1878.0,2178.0,1948.0,1714.0,3413.0,3611.0,26.2
2002-10-01,2004.0,2041.0,1842.0,1778.0,3956.0,3604.0,24.7
2002-11-01,2050.0,1959.0,1890.0,1819.0,4040.0,3620.0,23.6
2002-12-01,1911.0,1977.0,1951.0,1777.0,3701.0,3445.0,23.2
2003-01-01,2008.0,2176.0,1958.0,1988.0,3705.0,3902.0,25.2
2003-02-01,1886.0,1966.0,1964.0,1796.0,3710.0,3623.0,23.1
2003-03-01,1959.0,1998.0,1999.0,2015.0,3790.0,3623.0,23.2
2003-04-01,1978.0,2086.0,2124.0,1778.0,3608.0,3639.0,24.3
2003-05-01,2000.0,2048.0,2048.0,1897.0,3667.0,3478.0,23.2
2003-06-01,1949.0,2114.0,2273.0,1828.0,3801.0,3776.0,23.6
2003-07-01,1882.0,2127.0,1972.0,2005.0,4074.0,3487.0,23.0
2003-08-01,2041.0,2127.0,1973.0,2016.0,3781.0,3698.0,23.6
2003-09-01,1931.0,2051.0,2040.0,1912.0,3894.0,3757.0,23.1
2003-10-01,1733.0,2064.0,2121.0,1997.0,3768.0,3800.0,23.1
2003-11-01,1832.0,2120.0,1959.0,1845.0,3822.0,3886.0,24.3
2003-12-01,1922.0,2247.0,1936.0,1892.0,3991.0,3584.0,26.2
2004-01-01,1729.0,2058.0,2049.0,1661.0,3766.0,3769.0,24.7
2004-02-01,1806.0,1984.0,1910.0,1948.0,3747.0,3549.0,23.7
2004-03-01,1857.0,1925.0,2237.0,1871.0,3910.0,3704.0,23.6
2004-04-01,1787.0,2147.0,1897.0,1879.0,3845.0,3656.0,25.3
2004-05-01,1851.0,2088.0,2034.0,1766.0,3846.0,3722.0,25.6
2004-06-01,1777.0,2032.0,2088.0,1797.0,3604.0,3630.0,24.7
2004-07-01,1823.0,2151.0,1991.0,1845.0,3887.0,3903.0,26.0
2004-08-01,1858.0,1996.0,1946.0,1974.0,3946.0,3713.0,24.5
2004-09-01,1907.0,2138.0,2025.0,1886.0,4006.0,3608.0,26.8
2004-10-01,1890.0,2132.0,2085.0,1740.0,4014.0,3937.0,26.9
2004-11-01,1801.0,2154.0,1992.0,1780.0,3815.0,3876.0,26.7
2004-12-01,1848.0,2080.0,2015.0,1797.0,4119.0,3726.0,26.2
2005-01-01,1814.0,2040.0,1776.0,1733.0,3978.0,3865.0,25.7
2005-02-01,1853.0,2052.0,2030.0,1648.0,3890.0,3757.0,26.4
2005-03-01,1730.0,2060.0,1929.0,1853.0,3847.0,3741.0,25.8
2005-04-01,1692.0,2060.0,1983.0,1716.0,3863.0,4034.0,26.6
2005-05-01,1738.0,1979.0,1964.0,1777.0,3894.0,3943.0,25.8
2005-06-01,1822.0,1978.0,1827.0,1819.0,3863.0,3755.0,25.9
2005-07-01,1783.0,1944.0,1841.0,1816.0,3993.0,4062.0,25.8
2005-08-01,1769.0,2119.0,1986.0,1721.0,3875.0,3849.0,28.6
2005-09-01,1853.0,1852.0,1950.0,1780.0,3934.0,3845.0,25.2
2005-10-01,1736.0,1954.0,1895.0,1817.0,4044.0,3882.0,25.9
2005-11-01,1685.0,2052.0,2153.0,1712.0,4037.0,3625.0,27.5
2005-12-01,1732.0,1968.0,1928.0,2004.0,4095.0,4067.0,26.0
2006-01-01,1595.0,2033.0,1997.0,1800.0,3935.0,3968.0,27.9
2006-02-01,1692.0,1824.0,1903.0,1672.0,3791.0,3942.0,25.8
2006-03-01,1728.0,1952.0,1833.0,1745.0,4011.0,4015.0,27.2
2006-04-01,1882.0,1977.0,1866.0,1733.0,4229.0,4064.0,28.0
2006-05-01,1754.0,1997.0,1832.0,1745.0,4132.0,4122.0,28.0
2006-06-01,1752.0,2022.0,1983.0,1734.0,4136.0,4089.0,29.0
2006-07-01,1900.0,2012.0,1974.0,1711.0,4244.0,3881.0,28.7
2006-08-01,1725.0,2075.0,1955.0,1738.0,4086.0,4108.0,28.9
2006-09-01,1761.0,2081.0,1733.0,1683.0,4154.0,3933.0,29.3
2006-10-01,1749.0,1881.0,1713.0,1739.0,3904.0,4163.0,27.5
2006-11-01,1814.0,1932.0,1719.0,1488.0,4175.0,4225.0,28.7
2006-12-01,1820.0,2077.0,1740.0,1600.0,4137.0,4295.0,30.2
2007-01-01,1917.0,1945.0,1905.0,1544.0,4283.0,4146.0,28.8
2007-02-01,1833.0,2125.0,1812.0,1741.0,4333.0,4044.0,29.9
2007-03-01,1701.0,2088.0,1788.0,1630.0,4191.0,4018.0,30.1
2007-04-01,1763.0,1851.0,1683.0,1502.0,4502.0,3609.0,27.5
2007-05-01,1712.0,1981.0,1736.0,1559.0,3961.0,3966.0,28.9
2007-06-01,1774.0,1753.0,1757.0,1598.0,4035.0,4095.0,25.9
2007-07-01,1843.0,1900.0,1787.0,1582.0,3998.0,3745.0,27.2
2007-08-01,1714.0,1975.0,1735.0,1592.0,4412.0,3888.0,27.6
2007-09-01,1795.0,1910.0,1797.0,1606.0,3685.0,4052.0,27.0
2007-10-01,1818.0,1907.0,1774.0,1637.0,4277.0,3818.0,26.6
2007-11-01,1725.0,1956.0,1902.0,1697.0,3772.0,4122.0,27.0
2007-12-01,1866.0,1951.0,1974.0,1496.0,4160.0,3668.0,26.9
2008-01-01,1780.0,2034.0,1851.0,1567.0,3630.0,3964.0,26.6
2008-02-01,1817.0,1965.0,1818.0,1873.0,4048.0,3645.0,25.6
2008-03-01,2005.0,1996.0,2005.0,1712.0,3957.0,3830.0,26.6
2008-04-01,1915.0,2122.0,1911.0,1905.0,3886.0,3695.0,27.1
2008-05-01,2054.0,1900.0,2250.0,1666.0,3819.0,3715.0,24.9
2008-06-01,1996.0,2016.0,2000.0,1819.0,4031.0,3765.0,24.0
2008-07-01,1967.0,2052.0,2153.0,1736.0,3974.0,3733.0,23.9
2008-08-01,2288.0,2087.0,2189.0,1919.0,3756.0,3564.0,23.4
2008-09-01,2140.0,2293.0,2281.0,2091.0,3944.0,3608.0,24.3
2008-10-01,2259.0,2139.0,2422.0,1998.0,3701.0,3517.0,22.5
2008-11-01,2506.0,2098.0,2125.0,2090.0,3867.0,3481.0,20.8
2008-12-01,2519.0,2080.0,2515.0,2240.0,3797.0,3441.0,19.7
2009-01-01,2755.0,2234.0,2500.0,2235.0,4038.0,3634.0,19.8
2009-02-01,2834.0,2293.0,2587.0,2307.0,3576.0,3537.0,19.0
2009-03-01,2647.0,2212.0,2570.0,2498.0,3789.0,3285.0,17.1
2009-04-01,2484.0,2493.0,2834.0,2425.0,3667.0,3584.0,18.6
2009-05-01,2649.0,2247.0,2826.0,2602.0,3461.0,3398.0,16.2
2009-06-01,2550.0,2609.0,2801.0,2566.0,3611.0,3274.0,18.0
2009-07-01,2463.0,2581.0,2770.0,2764.0,3499.0,3356.0,17.5
2009-08-01,2560.0,2399.0,2911.0,2866.0,3759.0,3422.0,16.4
2009-09-01,2621.0,2582.0,2778.0,2657.0,3839.0,3153.0,17.4
2009-10-01,2516.0,2318.0,2920.0,2783.0,3591.0,3358.0,15.4
2009-11-01,2294.0,2584.0,2913.0,2778.0,3421.0,3303.0,16.8
2009-12-01,2373.0,2355.0,2779.0,2932.0,3867.0,3226.0,15.5
2010-01-01,2228.0,2522.0,3071.0,2829.0,3450.0,3732.0,16.7
2010-02-01,2341.0,2480.0,2985.0,2791.0,3583.0,3545.0,16.5
2010-03-01,2310.0,2613.0,3224.0,2846.0,3728.0,3536.0,17.3
2010-04-01,2274.0,2757.0,3326.0,2737.0,3467.0,3485.0,18.1
2010-05-01,2349.0,2675.0,2873.0,3030.0,3824.0,3397.0,17.5
2010-06-01,2164.0,2371.0,2883.0,3062.0,3560.0,3267.0,16.0
2010-07-01,2296.0,2501.0,3087.0,2850.0,3562.0,3425.0,17.3
2010-08-01,2396.0,2465.0,3048.0,2864.0,3519.0,3634.0,17.0
2010-09-01,2231.0,2347.0,2989.0,2959.0,3552.0,3384.0,16.0
2010-10-01,2232.0,2463.0,3019.0,2875.0,3997.0,3406.0,16.9
2010-11-01,2601.0,2448.0,3174.0,2783.0,3603.0,3627.0,16.9
2010-12-01,2206.0,2612.0,2800.0,3145.0,3699.0,3541.0,17.3
2011-01-01,2152.0,2376.0,2935.0,3036.0,3668.0,3591.0,16.6
2011-02-01,2043.0,2308.0,2957.0,2896.0,3679.0,3561.0,16.5
2011-03-01,2132.0,2366.0,2894.0,2771.0,3485.0,3484.0,17.1
2011-04-01,2268.0,2252.0,3037.0,2845.0,3564.0,3497.0,16.4
2011-05-01,2212.0,2357.0,2887.0,2865.0,3742.0,3575.0,16.9
2011-06-01,2135.0,2398.0,3162.0,2809.0,3825.0,3304.0,17.3
2011-07-01,2105.0,2371.0,3011.0,2952.0,3825.0,3729.0,17.0
2011-08-01,2016.0,2375.0,3097.0,2705.0,3500.0,3514.0,17.3
2011-09-01,2408.0,2382.0,3084.0,2990.0,3493.0,3746.0,17.2
2011-10-01,2123.0,2509.0,2719.0,2706.0,3772.0,3531.0,18.0
2011-11-01,2139.0,2502.0,2763.0,2707.0,3675.0,3739.0,18.4
2011-12-01,2093.0,2482.0,2866.0,2704.0,3937.0,3549.0,18.7
2012-01-01,1956.0,2387.0,2903.0,2848.0,3945.0,3392.0,18.2
2012-02-01,1989.0,2343.0,3016.0,2661.0,3562.0,3492.0,18.3
2012-03-01,2104.0,2370.0,2876.0,2714.0,3656.0,3517.0,18.5
2012-04-01,1994.0,2242.0,2862.0,2696.0,3975.0,3542.0,17.6
2012-05-01,1950.0,2260.0,2998.0,2682.0,3686.0,3650.0,17.9
2012-06-01,2024.0,2248.0,2913.0,2684.0,3716.0,3633.0,17.8
2012-07-01,2116.0,2276.0,2808.0,2688.0,3893.0,3684.0,17.9
2012-08-01,2059.0,2229.0,2841.0,2863.0,4067.0,3863.0,17.6
2012-09-01,1943.0,2359.0,2891.0,2843.0,3486.0,3788.0,18.9
2012-10-01,1972.0,2351.0,3108.0,2727.0,3734.0,3667.0,19.4
2012-11-01,1959.0,2189.0,2901.0,2814.0,4058.0,3721.0,18.1
2012-12-01,2204.0,2145.0,2910.0,2682.0,3743.0,3753.0,17.9
2013-01-01,2144.0,2274.0,2823.0,2542.0,3641.0,3420.0,18.5
2013-02-01,1824.0,2333.0,2789.0,2808.0,4120.0,3640.0,18.7
2013-03-01,1917.0,2151.0,2619.0,2668.0,4104.0,3803.0,18.0
2013-04-01,2013.0,2196.0,2670.0,2429.0,3903.0,3966.0,18.8
2013-05-01,1930.0,2275.0,2682.0,2472.0,3879.0,3733.0,19.3
2013-06-01,2092.0,2291.0,2720.0,2452.0,4021.0,3899.0,19.7
2013-07-01,1900.0,2344.0,2624.0,2610.0,3892.0,3786.0,19.9
2013-08-01,1947.0,2162.0,2696.0,2582.0,3998.0,3836.0,19.1
2013-09-01,1910.0,2085.0,2599.0,2452.0,3962.0,3830.0,18.5
2013-10-01,2198.0,2050.0,2438.0,2727.0,4439.0,3670.0,18.2
2013-11-01,1550.0,2162.0,2646.0,2388.0,3453.0,3750.0,19.4
2013-12-01,1767.0,2195.0,2522.0,2494.0,3922.0,3748.0,20.3
2014-01-01,2016.0,2207.0,2471.0,2494.0,4009.0,4161.0,21.2
2014-02-01,1994.0,2272.0,2545.0,2130.0,4114.0,3749.0,22.3
2014-03-01,1903.0,2289.0,2648.0,2239.0,4016.0,4090.0,22.1
2014-04-01,1797.0,2233.0,2254.0,2511.0,4053.0,3641.0,21.5
2014-05-01,1937.0,2022.0,2493.0,2265.0,4012.0,4036.0,20.8
2014-06-01,1834.0,2176.0,2294.0,2367.0,3935.0,3996.0,22.1
2014-07-01,1886.0,1986.0,2483.0,2239.0,3860.0,3977.0,21.0
2014-08-01,1991.0,2109.0,2351.0,2252.0,3970.0,3939.0,22.0
2014-09-01,1697.0,2166.0,2322.0,2202.0,4200.0,3881.0,22.6
2014-10-01,1723.0,2244.0,2396.0,2164.0,4154.0,4247.0,24.2
2014-11-01,1948.0,2022.0,2355.0,2190.0,4151.0,3960.0,22.5
2014-12-01,1752.0,2142.0,2222.0,2213.0,4352.0,4090.0,23.6
2015-01-01,1791.0,1910.0,2380.0,2136.0,4287.0,4407.0,21.9
2015-02-01,1837.0,2028.0,2181.0,2289.0,4647.0,4332.0,22.8
2015-03-01,1794.0,2037.0,2294.0,2137.0,4457.0,4237.0,23.7
2015-04-01,1830.0,2028.0,2297.0,2074.0,4280.0,4418.0,23.8
2015-05-01,1847.0,1981.0,2380.0,1969.0,4442.0,4515.0,23.2
2015-06-01,1697.0,2179.0,2108.0,2228.0,4839.0,4272.0,24.7
2015-07-01,1663.0,1823.0,2226.0,2156.0,4424.0,4427.0,22.1
2015-08-01,1672.0,2064.0,2180.0,1972.0,4715.0,4547.0,25.3
2015-09-01,1783.0,1957.0,2093.0,2028.0,4503.0,3938.0,24.5
2015-10-01,1678.0,1907.0,2112.0,1881.0,4350.0,4529.0,24.1
2015-11-01,1731.0,1979.0,2088.0,1780.0,4388.0,4290.0,25.0
2015-12-01,1786.0,2097.0,2008.0,1807.0,4156.0,4467.0,26.2
2016-01-01,1585.0,1952.0,2052.0,1980.0,4566.0,4494.0,24.7
2016-02-01,1592.0,1687.0,2096.0,1946.0,4381.0,4515.0,22.1
2016-03-01,1789.0,1829.0,2009.0,1731.0,4279.0,4467.0,23.7
2016-04-01,1782.0,1806.0,2062.0,1947.0,4437.0,4174.0,22.7
2016-05-01,1769.0,1995.0,1899.0,2100.0,4432.0,4186.0,24.7
2016-06-01,1785.0,1935.0,2027.0,1798.0,4253.0,4165.0,25.3
2016-07-01,1661.0,1894.0,1880.0,1759.0,4178.0,4372.0,24.5
2016-08-01,1711.0,1815.0,1979.0,1743.0,4267.0,4302.0,23.8
2016-09-01,1732.0,1995.0,2112.0,1682.0,4451.0,4095.0,25.6
2016-10-01,1721.0,2051.0,2052.0,1884.0,4401.0,4017.0,25.8
2016-11-01,1795.0,2039.0,1926.0,1967.0,4628.0,4507.0,26.1
2016-12-01,1716.0,1891.0,2008.0,1879.0,4607.0,4567.0,25.0
2017-01-01,1643.0,2015.0,1887.0,1542.0,4378.0,4499.0,26.8
2017-02-01,1731.0,2027.0,1816.0,1632.0,4429.0,4442.0,27.1
2017-03-01,1584.0,1865.0,1792.0,1820.0,4350.0,4562.0,25.3
2017-04-01,1682.0,1894.0,1906.0,1686.0,4591.0,4467.0,26.8
2017-05-01,1641.0,1884.0,1765.0,1625.0,4781.0,4287.0,26.6
2017-06-01,1713.0,1843.0,1726.0,1752.0,4598.0,4662.0,26.3
2017-07-01,1649.0,2028.0,1918.0,1535.0,4608.0,4537.0,29.5
2017-08-01,1735.0,1770.0,1904.0,1691.0,4499.0,4389.0,25.7
2017-09-01,1615.0,1998.0,1864.0,1712.0,4450.0,4773.0,28.2
2017-10-01,1644.0,1918.0,1831.0,1721.0,5245.0,4247.0,28.0
2017-11-01,1597.0,1861.0,1773.0,1461.0,4700.0,4597.0,27.8
2017-12-01,1616.0,1841.0,1748.0,1665.0,4579.0,4414.0,27.2
2018-01-01,1462.0,1772.0,1781.0,1642.0,4667.0,4514.0,26.7
2018-02-01,1523.0,1815.0,1878.0,1507.0,4210.0,4644.0,28.0
2018-03-01,1694.0,1813.0,1710.0,1711.0,4591.0,4417.0,27.5
2018-04-01,1617.0,1785.0,1765.0,1626.0,4680.0,4538.0,27.6
2018-05-01,1417.0,1707.0,1603.0,1584.0,4320.0,4329.0,26.4
2018-06-01,1492.0,1626.0,1819.0,1454.0,4589.0,4523.0,26.2
2018-07-01,1547.0,1780.0,1496.0,1522.0,4674.0,4848.0,27.6
2018-08-01,1625.0,1777.0,1609.0,1508.0,5356.0,4505.0,28.7
2018-09-01,1516.0,1705.0,1710.0,1619.0,4453.0,4716.0,27.7
2018-10-01,1546.0,1776.0,1782.0,1421.0,4525.0,4554.0,29.2
2018-11-01,1499.0,1772.0,1697.0,1550.0,4622.0,4645.0,28.5
2018-12-01,1544.0,1696.0,1798.0,1372.0,4766.0,4661.0,27.7
2019-01-01,1459.0,1766.0,1858.0,1443.0,4594.0,4424.0,27.6
2019-02-01,1444.0,1769.0,1763.0,1790.0,4696.0,4729.0,27.3
2019-03-01,1527.0,1727.0,1742.0,1486.0,4855.0,4416.0,28.1
2019-04-01,1337.0,1645.0,1619.0,1554.0,4806.0,4346.0,26.5
2019-05-01,1400.0,1560.0,1680.0,1551.0,4669.0,4681.0,26.2
2019-06-01,1577.0,1698.0,1543.0,1430.0,4542.0,4770.0,28.6
2019-07-01,1418.0,1683.0,1698.0,1312.0,4591.0,4722.0,28.4
2019-08-01,1363.0,1645.0,1623.0,1477.0,4665.0,4613.0,27.1
2019-09-01,1363.0,1677.0,1641.0,1521.0,4507.0,4605.0,28.2
2019-10-01,1515.0,1529.0,1547.0,1419.0,4557.0,4678.0,26.6
2019-11-01,1316.0,1520.0,1568.0,1371.0,4660.0,4459.0,25.9
2019-12-01,1506.0,1751.0,1619.0,1396.0,4727.0,4646.0,29.8
2020-01-01,1625.0,1811.0,1593.0,1392.0,4703.0,4673.0,30.9
2020-02-01,1512.0,1668.0,1518.0,1482.0,4454.0,4450.0,28.4
2020-03-01,2759.0,1400.0,1583.0,1492.0,5952.0,3915.0,24.3
2020-04-01,17455.0,1309.0,2317.0,2594.0,9433.0,3380.0,18.2
2020-05-01,4859.0,7788.0,4229.0,3468.0,4439.0,5457.0,33.7
2020-06-01,3741.0,7708.0,3704.0,3048.0,3504.0,4651.0,36.8
2020-07-01,3353.0,4996.0,3388.0,3048.0,4198.0,4111.0,28.3
2020-08-01,1908.0,4639.0,2673.0,2845.0,3973.0,4615.0,28.4
2020-09-01,2497.0,3309.0,2624.0,2736.0,4564.0,4123.0,24.6
2020-10-01,2019.0,3515.0,2542.0,2534.0,4094.0,4870.0,28.0
2020-11-01,2024.0,2616.0,2365.0,2153.0,4814.0,4172.0,23.6
2020-12-01,2285.0,2393.0,2518.0,2338.0,4593.0,4485.0,22.4
2021-01-01,2065.0,2576.0,2244.0,2232.0,4464.0,4081.0,23.9
2021-02-01,1923.0,2519.0,2403.0,2065.0,4395.0,4211.0,24.6
2021-03-01,1823.0,2259.0,2395.0,2207.0,4381.0,4385.0,22.6
2021-04-01,2025.0,2345.0,2301.0,2019.0,4579.0,4666.0,24.0
2021-05-01,1713.0,2309.0,2319.0,2219.0,4777.0,4639.0,23.7
2021-06-01,1787.0,2083.0,2385.0,1869.0,4642.0,4483.0,22.5
2021-07-01,1689.0,2298.0,2111.0,2248.0,4365.0,4952.0,24.2
2021-08-01,1607.0,2239.0,2109.0,1943.0,4864.0,4622.0,25.6
2021-09-01,1508.0,2039.0,1823.0,1952.0,4612.0,4651.0,24.7
2021-10-01,1429.0,2071.0,1933.0,1651.0,5019.0,4944.0,27.2
2021-11-01,1571.0,2089.0,1793.0,1832.0,4430.0,4954.0,28.7
2021-12-01,1290.0,1861.0,1941.0,1691.0,4596.0,4513.0,27.7
2022-01-01,1699.0,1906.0,1872.0,1575.0,4574.0,4735.0,29.7
2022-02-01,1630.0,2066.0,1744.0,1526.0,4663.0,4781.0,31.6
2022-03-01,1564.0,1891.0,1652.0,1614.0,4430.0,4664.0,29.9
2022-04-01,1687.0,1688.0,1599.0,1644.0,5087.0,4696.0,28.0
2022-05-01,1527.0,1782.0,1688.0,1455.0,4692.0,4929.0,29.7
2022-06-01,1494.0,1733.0,1719.0,1491.0,5119.0,4566.0,29.0
2022-07-01,1525.0,1811.0,1645.0,1567.0,4684.0,4746.0,30.3
2022-08-01,1523.0,1855.0,1825.0,1363.0,4876.0,4896.0,32.1
2022-09-01,1412.0,1669.0,1558.0,1463.0,4863.0,4693.0,28.2
2022-10-01,1634.0,1604.0,1706.0,1535.0,4913.0,4752.0,27.9
2022-11-01,1617.0,1756.0,1652.0,1543.0,4957.0,4546.0,29.5
2022-12-01,1519.0,1809.0,1542.0,1396.0,4703.0,5099.0,30.6
2023-01-01,1417.0,1578.0,1653.0,1534.0,4736.0,4880.0,27.3
2023-02-01,1435.0,1659.0,1691.0,1250.0,4920.0,4963.0,28.8
2023-03-01,1390.0,1675.0,1531.0,1376.0,4514.0,4548.0,28.0
2023-04-01,1437.0,1632.0,1393.0,1310.0,4924.0,4759.0,27.9
2023-05-01,1629.0,1485.0,1614.0,1421.0,4545.0,4496.0,25.8
2023-06-01,1441.0,1594.0,1665.0,1623.0,4705.0,4702.0,26.2
2023-07-01,1366.0,1805.0,1725.0,1351.0,4912.0,4831.0,30.2
2023-08-01,1528.0,1581.0,1731.0,1328.0,4566.0,4675.0,26.7
2023-09-01,1550.0,1783.0,1705.0,1486.0,4811.0,4492.0,28.4
2023-10-01,1573.0,1719.0,1825.0,1511.0,4907.0,4428.0,27.4
2023-11-01,1458.0,1884.0,1634.0,1453.0,4515.0,4722.0,29.2
2023-12-01,1540.0,1696.0,1742.0,1495.0,4877.0,3841.0,27.2
2024-01-01,1495.0,1691.0,1651.0,1597.0,4480.0,4768.0,26.7
2024-02-01,1536.0,1607.0,1890.0,1515.0,4702.0,4579.0,26.0
2024-03-01,1506.0,1720.0,1781.0,1531.0,4552.0,4672.0,26.5
2024-04-01,1724.0,1791.0,1620.0,1597.0,4492.0,4302.0,27.5
2024-05-01,1498.0,1772.0,1990.0,1582.0,4790.0,4222.0,27.3
2024-06-01,1555.0,1732.0,1890.0,1463.0,4789.0,4504.0,26.1
2024-07-01,1767.0,1769.0,1664.0,1460.0,4173.0,4414.0,25.7
2024-08-01,1797.0,1931.0,1695.0,1631.0,4424.0,4391.0,27.2
2024-09-01,1579.0,1985.0,1798.0,1634.0,4323.0,4229.0,28.1
2024-10-01,1666.0,1681.0,1656.0,1559.0,4487.0,4024.0,24.5
2024-11-01,1355.0,1499.0,1802.0,1530.0,4708.0,4185.0,21.6
2024-12-01,1505.0,1799.0,1715.0,1607.0,4205.0,4262.0,25.4
2025-01-01,1465.0,1902.0,1846.0,1535.0,4392.0,4447.0,27.5
2025-02-01,1713.0,1754.0,1817.0,1537.0,4769.0,4178.0,25.5
2025-03-01,1646.0,1850.0,1901.0,1705.0,4655.0,4599.0,26.0
2025-04-01,1559.0,1859.0,1961.0,1677.0,4506.0,4596.0,26.1
2025-05-01,1805.0,1787.0,1747.0,1681.0,5394.0,4647.0,25.0
2025-06-01,1691.0,1998.0,1783.0,1676.0,4791.0,4497.0,27.6
2025-07-01,1730.0,1879.0,2001.0,1644.0,4597.0,4385.0,26.6
2025-08-01,1596.0,1792.0,1984.0,1711.0,4759.0,4714.0,24.6
2025-09-01,1733.0,1826.0,2012.0,1705.0,4772.0,4890.0,24.7
2025-10-01,1705.967032967033,1899.8461538461538,1961.5604395604396,1716.5384615384614,4846.175824175824,4846.153846153846,25.22747252747253
2025-11-01,1678.032967032967,1976.1538461538462,1909.4395604395604,1728.4615384615386,4922.824175824176,4800.846153846154,25.77252747252747
2025-12-01,1651.0,2050.0,1859.0,1740.0,4997.0,4757.0,26.3
2026-01-01,1501.0,1832.0,1898.0,1734.0,5073.0,4150.0,24.4
2026-02-01,1623.0,1688.0,1911.0,1647.0,4602.0,4380.0,22.9
2026-03-01,1380.0,1882.0,1935.0,1768.0,5115.0,4529.0,24.9
